id_elemento_catalogo,nombre,id_elemento_catalogo_tipo,descripcion,cod_unidad,temperatura_minima,temperatura_maxima,vida_util,peso_unitario
94,Discos de corte,10,Discos de corte para herramientas eléctricas.,7,,,,1000
95,Martillo industrial,10,Martillo industrial para mantenimiento.,7,,,,1500
96,Destornillador eléctrico,10,Destornillador eléctrico para mantenimiento.,7,,,,800
97,Pinzas de presión,10,Pinzas de presión para trabajos de mantenimiento.,7,,,,500
98,Multímetro digital,10,Multímetro digital para mediciones eléctricas.,7,,,,300
99,Llaves ajustables,10,Llaves ajustables para trabajos de mantenimiento.,7,,,,1000
100,Taladro inalámbrico,10,Taladro inalámbrico para trabajos de mantenimiento.,7,,,,1500
101,Guantes de trabajo,10,Guantes de trabajo para protección en el área de mantenimiento.,9,,,,100
102,Mascarillas desechables,10,Mascarillas desechables para protección en el área de mantenimiento.,9,,,,50
103,Cascos de seguridad,10,Cascos de seguridad para protección en el área de mantenimiento.,9,,,,300
104,Botas de seguridad,10,Botas de seguridad para protección en el área de mantenimiento.,9,,,,2000
105,Gafas de seguridad,10,Gafas de seguridad para protección en el área de mantenimiento.,9,,,,150
106,Chalecos reflectantes,10,Chalecos reflectantes para el área de mantenimiento.,9,,,,200
107,Tornillos y tuercas,10,Tornillos y tuercas para trabajos de mantenimiento.,7,,,,300
108,Cintas aislantes,10,Cintas aislantes para trabajos eléctricos.,7,,,,200
109,Termómetro infrarrojo,10,Termómetro infrarrojo para mediciones de temperatura.,7,,,,500
110,Balanza digital,10,Balanza digital para pesaje de materiales.,7,,,,1500
111,Lámparas de trabajo,10,Lámparas de trabajo para el área de mantenimiento.,7,,,,800
112,Cámaras de vigilancia,10,Cámaras de vigilancia para el área de mantenimiento.,7,,,,3000
113,Alarmas de seguridad,10,Alarmas de seguridad para el área de mantenimiento.,7,,,,2500
114,Equipo de soldadura,10,Equipo de soldadura para trabajos de mantenimiento.,7,,,,5000
115,Extintores de incendio,10,Extintores de incendio para el área de mantenimiento.,7,,,,2000
116,Ventiladores industriales,10,Ventiladores industriales para el área de mantenimiento.,7,,,,3000
117,Compresor de aire,10,Compresor de aire para el área de mantenimiento.,7,,,,8000
118,Generador eléctrico,10,Generador eléctrico para el área de mantenimiento.,7,,,,10000
119,Sistema de iluminación LED,10,Sistema de iluminación LED para el área de mantenimiento.,7,,,,2000
120,Kit de primeros auxilios,10,Kit de primeros auxilios para el área de mantenimiento.,9,,,,500
